TEST_PARAM.comment:,lr44 2x

SourceMeter Model:,2450
SourceMeter S/N:,04036355
SourceMeter Firmware:,1.7.5b

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,3.0592660904
TEST_PARAM.vcutoff:,1.65

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,0.05
TEST_PARAM.max_discharge_current:,0.05

TEST_PARAM.measure_interval:,2

TEST_PARAM.discharge_start_time:,02/26/21 14:04:37
TEST_PARAM.discharge_stop_time:,02/26/21 14:35:54

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,113,224.12870354,2.543964386,2.2566223145,5.7468414307
BATT_MODEL_RAW:,114,226.12937578,2.5425682068,2.254940033,5.7525634766
BATT_MODEL_RAW:,115,228.12991124,2.5411834717,2.2532653809,5.7583618164
BATT_MODEL_RAW:,116,230.13047442,2.5397720337,2.2515525818,5.7643890381
BATT_MODEL_RAW:,117,232.1312308,2.5383872986,2.2498703003,5.7703399658
BATT_MODEL_RAW:,118,234.13187442,2.5370025635,2.2481803894,5.7764434814
BATT_MODEL_RAW:,119,236.1326344,2.5356407166,2.2465438843,5.7819366455
BATT_MODEL_RAW:,120,238.13315194,2.5342826843,2.2449264526,5.7871246338
BATT_MODEL_RAW:,121,240.13420288,2.5329246521,2.2433052063,5.792388916
BATT_MODEL_RAW:,122,242.1351241,2.5315704346,2.2417030334,5.7973480225
BATT_MODEL_RAW:,123,244.13565816,2.5302391052,2.2401199341,5.8023834229
BATT_MODEL_RAW:,124,246.13661208,2.52891922,2.2385177612,5.8080291748
BATT_MODEL_RAW:,125,248.13757676,2.5275535583,2.2369384766,5.8123016357
BATT_MODEL_RAW:,126,250.1379681,2.5262336731,2.2353973389,5.8167266846
BATT_MODEL_RAW:,127,252.1390242,2.5249137878,2.2338523865,5.8212280273
BATT_MODEL_RAW:,128,254.14020856,2.5235900879,2.2322883606,5.8260345459
BATT_MODEL_RAW:,129,256.1407064,2.5222969055,2.2307548523,5.8308410645
BATT_MODEL_RAW:,130,258.14165824,2.5209388733,2.2291793823,5.8351898193
BATT_MODEL_RAW:,131,260.14250814,2.5196456909,2.2276649475,5.8396148682
BATT_MODEL_RAW:,132,262.14353324,2.5183334351,2.2261657715,5.8433532715
BATT_MODEL_RAW:,133,264.14443,2.5170974731,2.224697113,5.8480072021
BATT_MODEL_RAW:,134,266.14501132,2.5157966614,2.2232246399,5.8514404297
BATT_MODEL_RAW:,135,268.14586648,2.5145378113,2.2218360901,5.8540344238
BATT_MODEL_RAW:,136,270.14663526,2.513256073,2.2203483582,5.8581542969
BATT_MODEL_RAW:,137,272.14742722,2.5119552612,2.2188835144,5.8614349365
BATT_MODEL_RAW:,138,274.14793026,2.5107269287,2.2174339294,5.8658599854
BATT_MODEL_RAW:,139,276.14870102,2.5094223022,2.2159805298,5.8688354492
BATT_MODEL_RAW:,140,278.1493546,2.5081443787,2.2145462036,5.871963501
BATT_MODEL_RAW:,141,280.14996618,2.5068969727,2.213092804,5.876083374
BATT_MODEL_RAW:,142,282.15071632,2.5056114197,2.2116546631,5.8791351318
BATT_MODEL_RAW:,143,284.15139538,2.504360199,2.2102355957,5.8824920654
BATT_MODEL_RAW:,144,286.15186516,2.5030784607,2.2087669373,5.8862304688
BATT_MODEL_RAW:,145,288.1524488,2.5018310547,2.2073478699,5.8896636963
BATT_MODEL_RAW:,146,290.15312098,2.5005912781,2.2060012817,5.8917999268
BATT_MODEL_RAW:,147,292.15377944,2.499370575,2.2045860291,5.895690918
BATT_MODEL_RAW:,148,294.1549389,2.4981002808,2.2031707764,5.8985900879
BATT_MODEL_RAW:,149,296.15584094,2.4968719482,2.2017707825,5.9020233154
BATT_MODEL_RAW:,150,298.15679602,2.4956359863,2.2004165649,5.9043884277
BATT_MODEL_RAW:,151,300.15720072,2.4944000244,2.1990203857,5.9075927734
BATT_MODEL_RAW:,152,302.15763522,2.4933280945,2.1979293823,5.9079742432
BATT_MODEL_RAW:,153,304.1580098,2.4920578003,2.1965332031,5.9104919434
BATT_MODEL_RAW:,154,306.15850358,2.4907951355,2.1951065063,5.913772583
BATT_MODEL_RAW:,155,308.15890524,2.4895591736,2.1936759949,5.9176635742
BATT_MODEL_RAW:,156,310.15953258,2.4883728027,2.1923599243,5.9202575684
BATT_MODEL_RAW:,157,312.15996552,2.4872169495,2.191116333,5.9220123291
BATT_MODEL_RAW:,158,314.16051382,2.486038208,2.1897697449,5.9253692627
BATT_MODEL_RAW:,159,316.16116422,2.4847679138,2.1884078979,5.9272003174
BATT_MODEL_RAW:,160,318.16171428,2.4835624695,2.1871070862,5.929107666
BATT_MODEL_RAW:,161,320.16255684,2.4824295044,2.1858711243,5.9311676025
BATT_MODEL_RAW:,162,322.16336868,2.4812088013,2.1844711304,5.934753418
BATT_MODEL_RAW:,163,324.16407866,2.4800949097,2.1833152771,5.9355926514
BATT_MODEL_RAW:,164,326.16466068,2.4789352417,2.1819648743,5.9394073486
BATT_MODEL_RAW:,165,328.16541692,2.4777030945,2.1806106567,5.9418487549
BATT_MODEL_RAW:,166,330.16626022,2.4765205383,2.1793518066,5.9433746338
BATT_MODEL_RAW:,167,332.16670516,2.4753723145,2.1780738831,5.9459686279
BATT_MODEL_RAW:,168,334.1676918,2.4741821289,2.1767921448,5.9477996826
BATT_MODEL_RAW:,169,336.16834286,2.4729652405,2.1754684448,5.9499359131
BATT_MODEL_RAW:,170,338.16900838,2.4718704224,2.1743278503,5.9508514404
BATT_MODEL_RAW:,171,340.16999864,2.470703125,2.1730957031,5.9521484375
BATT_MODEL_RAW:,172,342.17070692,2.4695968628,2.1719169617,5.9535980225
BATT_MODEL_RAW:,173,344.17135908,2.4684257507,2.1706619263,5.9552764893
BATT_MODEL_RAW:,174,346.17210244,2.4673118591,2.1694793701,5.9566497803
BATT_MODEL_RAW:,175,348.17276628,2.4661254883,2.1682243347,5.9580230713
BATT_MODEL_RAW:,176,350.1738529,2.4649429321,2.1669387817,5.9600830078
BATT_MODEL_RAW:,177,352.17478934,2.4638748169,2.1658287048,5.9609222412
BATT_MODEL_RAW:,178,354.17528244,2.4627456665,2.1646347046,5.9622192383
BATT_MODEL_RAW:,179,356.17635784,2.4616012573,2.163356781,5.9648895264
BATT_MODEL_RAW:,180,358.176805,2.4604454041,2.1622009277,5.9648895264
BATT_MODEL_RAW:,181,360.17735248,2.4593963623,2.1610870361,5.9661865234
BATT_MODEL_RAW:,182,362.17784214,2.458278656,2.1599273682,5.9670257568
BATT_MODEL_RAW:,183,364.17826388,2.4571380615,2.1587562561,5.9676361084
BATT_MODEL_RAW:,184,366.17893342,2.4560317993,2.1575279236,5.9700775146
BATT_MODEL_RAW:,185,368.17955512,2.4549331665,2.1563796997,5.9710693359
BATT_MODEL_RAW:,186,370.18025382,2.4537696838,2.1551399231,5.9725952148
BATT_MODEL_RAW:,187,372.18122278,2.4527359009,2.1540527344,5.9736633301
BATT_MODEL_RAW:,188,374.18150576,2.4516563416,2.1529045105,5.9750366211
BATT_MODEL_RAW:,189,376.18265138,2.4505462646,2.1517486572,5.9759521484
BATT_MODEL_RAW:,190,378.18341762,2.4494400024,2.1505699158,5.9774017334
BATT_MODEL_RAW:,191,380.18400626,2.4483985901,2.1494178772,5.9796142578
BATT_MODEL_RAW:,192,382.18468778,2.4472923279,2.1482810974,5.9802246094
